Species,Authority,Common Name
Chara aculeolata,Kütz.,Hedgehog Stonewort
Chara aspera,Dethard. ex Willd.,Rough Stonewort
Chara baltica,Bruzelius,Baltic Stonewort
Chara braunii,C.C. Gmel.,Braun's Stonewort
Chara canescens,Desv. & Loisel.,Bearded Stonewort
Chara connivens,Salzm. ex A. Braun,Convergent Stonewort
Chara contraria,A. Braun ex Kütz.,Opposite Stonewort
Chara contraria var. hispidula,A. Braun,
Chara contraria var. contraria,,
Chara curta,Nolte ex Kütz.,Lesser Bearded Stonewort
Chara denudata,A. Braun,Naked Stonewort
Chara fragifera,Durieu,Strawberry Stonewort
Chara globularis,Thuill.,Fragile Stonewort
Chara hispida,L.,Bristly Stonewort
Chara intermedia,A. Braun,Intermediate Stonewort
Chara muscosa,J. Groves & Bull.-Webst.,Mossy Stonewort
Chara rudis,(A. Braun) Leonh.,Rugged Stonewort
Chara tomentosa,L.,Coral Stonewort
Chara virgata,Kütz.,Delicate Stonewort
Chara virgata var. annulata,(Lilj.) N.F. Stewart & J.A. Bryant,
Chara virgata var. virgata,,
Chara vulgaris,L.,Common Stonewort
Chara vulgaris var. vulgaris,,
Chara vulgaris var. crassicaulis,(Schleich. ex A. Braun) Kütz.,
Chara vulgaris var. longibracteata,(Kütz.) J. Groves & Bull.-Webst.,
Chara vulgaris var. papillata,Wallr. ex A. Braun,
Lamprothamnium papulosum,(Wallr.) J. Groves,Foxtail Stonewort
Nitellopsis obtusa,(Desv.) J. Groves,Starry Stonewort
Nitella capillaris,(Krock.) J. Groves & Bull.-Webst.,Slimy-fruited Stonewort
Nitella confervacea,(Bréb.) A. Braun ex Leonh.,Least Stonewort
Nitella flexilis,(L.) C. Agardh,Smooth Stonewort
Nitella gracilis,(Sm.) C. Agardh,Slender Stonewort
Nitella hyalina,(DC.) C. Agardh,Many-branched Stonewort
Nitella mucronata,(A. Braun) Miq.,Pointed Stonewort
Nitella mucronata var. gracillima,J. Groves & Bull.-Webst.,
Nitella mucronata var. mucronata,,
Nitella opaca,(C. Agardh ex Bruzelius) C. Agardh,Dark Stonewort
Nitella spanioclema,J. Groves & Bull.-Webst. ex Bull.-Webst.,Few-branched Stonewort
Nitella tenuissima,(Desv.) Kütz.,Dwarf Stonewort
Nitella translucens,(Pers.) C. Agardh,Translucent Stonewort
Tolypella glomerata,(Desv.) Leonh.,Clustered Stonewort
Tolypella intricata,(Trentep. ex Roth) Leonh.,Tassel Stonewort
Tolypella nidifica,(O. Müll.) Leonh.,Bird's-nest Stonewort
Tolypella prolifera,(Ziz ex A. Braun) Leonh.,Great Tassel Stonewort
Huperzia selago,(L.) Bernh. ex Schrank & Mart.,Fir Clubmoss
Lycopodiella inundata,(L.) Holub,Marsh Clubmoss
Lycopodium clavatum,L.,Stag's-horn Clubmoss
Lycopodium annotinum,L.,Interrupted Clubmoss
Diphasiastrum alpinum,(L.) Holub,Alpine Clubmoss
Diphasiastrum complanatum,(L.) Holub,Issler's Clubmoss
Diphasiastrum complanatum subsp. issleri,(Rouy) Jermy,
Selaginella selaginoides,(L.) P. Beauv.,Lesser Clubmoss
Selaginella kraussiana,(Kunze) A. Braun,Krauss's Clubmoss
Isoetes lacustris,L.,Quillwort 
Isoetes lacustris x echinospora = I. x hickeyi,W.C. Taylor & Luebke,
Isoetes echinospora,Durieu,Spring Quillwort
Isoetes histrix,Bory,Land Quillwort
Equisetum hyemale,L.,Rough Horsetail
Equisetum hyemale x ramosissimum = E. x moorei,Newman,Moore's Horsetail
Equisetum hyemale x variegatum = E. x trachyodon,A. Braun,Mackay's Horsetail
Equisetum ramosissimum,Desf.,Branched Horsetail
Equisetum variegatum,Schleich. ex F. Weber & D. Mohr,Variegated Horsetail
Equisetum fluviatile,L.,Water Horsetail
Equisetum fluviatile x arvense = E. x litorale,Kühlew. ex Rupr.,Shore Horsetail
Equisetum fluviatile x palustre = E. x dycei,C.N. Page,
Equisetum fluviatile x telmateia = E. x willmotii,C.N. Page,
Equisetum arvense,L.,Field Horsetail
Equisetum arvense x palustre = E. x rothmaleri,C.N. Page,
Equisetum arvense x telmateia = E. x robertsii,Dines,
Equisetum pratense,Ehrh.,Shady Horsetail
Equisetum pratense x sylvaticum = E. x mildeanum,Rothm.,
Equisetum sylvaticum,L.,Wood Horsetail
Equisetum sylvaticum x telmateia = E. x bowmanii,C.N. Page,
Equisetum palustre,L.,Marsh Horsetail
Equisetum palustre x telmateia = E. x font-queri,Rothm.,
Equisetum telmateia,Ehrh.,Great Horsetail
Ophioglossum vulgatum,L.,Adder's-tongue 
Ophioglossum azoricum,C. Presl,Small Adder's-tongue
Ophioglossum lusitanicum,L.,Least Adder's-tongue
Botrychium lunaria,(L.) Sw.,Moonwort 
Osmunda regalis,L.,Royal Fern
Cryptogramma crispa,(L.) R. Br. ex Hook.,Parsley Fern
Anogramma leptophylla,(L.) Link,Jersey Fern
Adiantum capillus-veneris,L.,Maidenhair Fern
Adiantum pedatum,L.,
Pteris cretica,L.,Ribbon Fern
Pteris incompleta,Cav.,Spider Brake
Pteris tremula,R. Br.,Tender Brake
Pteris vittata,L.,Ladder Brake
Pilularia globulifera,L.,Pillwort 
Hymenophyllum tunbrigense,(L.) Sm.,Tunbridge Filmy-fern
Hymenophyllum wilsonii,Hook.,Wilson's Filmy-fern
Trichomanes speciosum,Willd.,Killarney Fern
Trichomanes venosum,R. Br.,Veined Bristle-fern
Polypodium vulgare,L.,Polypody 
Polypodium vulgare x interjectum = P. x mantoniae,Rothm. & U. Schneid.,
Polypodium vulgare x cambricum = P. x font-queri,Rothm.,
Polypodium interjectum,Shivas,Intermediate Polypody
Polypodium interjectum x cambricum = P. x shivasiae,Rothm.,
Polypodium cambricum,L.,Southern Polypody
Phymatosorus diversifolius,(Willd.) Pic. Serm.,Kangaroo Fern
Cyathea dealbata,(G. Forst.) Sw.,Silver Tree-fern
Dicksonia antarctica,Labill.,Australian Tree-fern
Pteridium aquilinum,(L.) Kuhn,Bracken 
Pteridium aquilinum subsp. aquilinum,,
Pteridium aquilinum subsp. latiusculum,(Desv.) C.N. Page,Pinewood Bracken
Leptolepia novae-zelandiae,(Colenso) Mett. ex Diels,
Thelypteris palustris,Schott,Marsh Fern
Phegopteris connectilis,(Michx.) Watt,Beech Fern
Oreopteris limbosperma,(All.) Holub,Lemon-scented Fern
Phyllitis scolopendrium,(L.) Newman,Hart's-tongue 
Phyllitis scolopendrium x Asplenium adiantum-nigrum = X Asplenophyllitis jacksonii,Alston,
Phyllitis scolopendrium x Asplenium obovatum = X Asplenophyllitis microdon,(T. Moore) Alston,
Phyllitis scolopendrium x Asplenium trichomanes = X Asplenophyllitis confluens,(T. Moore ex E.J. Lowe) Alston,
Asplenium adiantum-nigrum,L.,Black Spleenwort
Asplenium adiantum-nigrum x onopteris = A. x ticinense,D.E. Mey.,
Asplenium adiantum-nigrum x obovatum = A. x sarniense,Sleep,
Asplenium adiantum-nigrum x septentrionale = A. x contrei,"Callé, Lovis & Reichst.",
Asplenium onopteris,L.,Irish Spleenwort
Asplenium obovatum,Viv.,Lanceolate Spleenwort
Asplenium obovatum subsp. lanceolatum,(Fiori) P. Silva,
Asplenium marinum,L.,Sea Spleenwort
Asplenium trichomanes,L.,Maidenhair Spleenwort
Asplenium trichomanes subsp. trichomanes,,
Asplenium trichomanes subsp. quadrivalens,D.E. Mey.,
Asplenium trichomanes subsp. pachyrachis,(H. Christ) Lovis & Reichst.,
Asplenium trichomanes x ruta-muraria = A. x clermontiae,Syme,
Asplenium trichomanes x septentrionale = A. x alternifolium,Wulfen,Alternate-leaved Spleenwort
Asplenium viride,Huds.,Green Spleenwort
Asplenium ruta-muraria,L.,Wall-rue 
Asplenium ruta-muraria x septentrionale = A. x murbeckii,Dörfl.,
Asplenium septentrionale,(L.) Hoffm.,Forked Spleenwort
Asplenium fontanum,(L.) Bernh.,Smooth Rock-spleenwort
Ceterach officinarum,Willd.,Rustyback 
Matteuccia struthiopteris,(L.) Tod.,Ostrich Fern
Onoclea sensibilis,L.,Sensitive Fern
Athyrium filix-femina,(L.) Roth,Lady-fern 
Athyrium distentifolium,Tausch ex Opiz,Alpine Lady-fern
Gymnocarpium dryopteris,(L.) Newman,Oak Fern
Gymnocarpium robertianum,(Hoffm.) Newman,Limestone Fern
Cystopteris fragilis,(L.) Bernh.,Brittle Bladder-fern
Cystopteris dickieana,R. Sim,Dickie's Bladder-fern
Cystopteris montana,(Lam.) Desv.,Mountain Bladder-fern
Cystopteris alpina,(Lam.) Desv.,Alpine Bladder-fern
Cystopteris diaphana,(Bory) Blasdell,Greenish Bladder-fern
Woodsia ilvensis,(L.) R. Br.,Oblong Woodsia
Woodsia alpina,(Bolton) Gray,Alpine Woodsia
Polystichum setiferum,(Forssk.) T. Moore ex Woyn.,Soft Shield-fern
Polystichum setiferum x aculeatum = P. x bicknellii,(H. Christ) Hahne,
Polystichum setiferum x lonchitis = P. x lonchitiforme,(Halácsy) Bech.,
Polystichum setiferum x munitum = P. x lesliei,Rumsey & Acock,
Polystichum aculeatum,(L.) Roth,Hard Shield-fern
Polystichum aculeatum x lonchitis = P. x illyricum,(Borbás) Hahne,
Polystichum lonchitis,(L.) Roth,Holly-fern 
Polystichum munitum,(Kaulf.) C. Presl,Western Sword-fern
Cyrtomium falcatum,(L. f.) C. Presl,House Holly-fern
Dryopteris oreades,Fomin,Mountain Male-fern
Dryopteris oreades x filix-mas = D. x mantoniae,Fraser-Jenk. & Corley,
Dryopteris oreades x aemula = D. x pseudoabbreviata,Jermy,
Dryopteris filix-mas,(L.) Schott,Male-fern 
Dryopteris filix-mas x affinis = D. x complexa,Fraser-Jenk.,
Dryopteris filix-mas x carthusiana = D. x brathaica,Fraser-Jenk. & Reichst.,
Dryopteris affinis,(Lowe) Fraser-Jenk.,Scaly Male-fern
Dryopteris affinis subsp. affinis,,
Dryopteris affinis subsp. cambrensis,Fraser-Jenk.,
Dryopteris affinis subsp. borreri,(Newman) Fraser-Jenk.,
Dryopteris remota,(A. Braun ex Döll) Druce,Scaly Buckler-fern
Dryopteris aemula,(Aiton) Kuntze,Hay-scented Buckler-fern
Dryopteris submontana,(Fraser-Jenk. & Jermy) Fraser-Jenk.,Rigid Buckler-fern
Dryopteris cristata,(L.) A. Gray,Crested Buckler-fern
Dryopteris cristata x carthusiana = D. x uliginosa,(A. Braun ex Döll) Kuntze ex Druce,
Dryopteris carthusiana,(Vill.) H.P. Fuchs,Narrow Buckler-fern
Dryopteris carthusiana x dilatata = D. x deweveri,(J.T. Jansen) Jansen & Wacht.,
Dryopteris carthusiana x expansa = D. x sarvelae,Fraser-Jenk. & Jermy,
Dryopteris dilatata,(Hoffm.) A. Gray,Broad Buckler-fern
Dryopteris dilatata x expansa = D. x ambroseae,Fraser-Jenk. & Jermy,
Dryopteris expansa,(C. Presl) Fraser-Jenk. & Jermy,Northern Buckler-fern
Davallia bullata,Wall.,Squirrel's-foot Fern
Davallia canariensis,(L.) Sm.,Hare's-foot Fern
Blechnum spicant,(L.) Roth,Hard-fern 
Blechnum cordatum,(Desv.) Hieron.,Chilean Hard-fern
Blechnum penna-marina,(Poir.) Kuhn,Antarctic Hard-fern
Woodwardia radicans,(L.) Sm.,Chain Fern
Azolla filiculoides,Lam.,Water Fern
Ginkgo biloba,L.,Maidenhair-tree 
Abies alba,Mill.,European Silver-fir
Abies grandis,(Douglas ex D. Don) Lindl.,Giant Fir
Abies procera,Rehder,Noble Fir
Abies cephalonica,Loudon,Greek Fir
Abies cilicica,(Antoine & Kotschy) Carrière,Cilician Fir
Abies concolor,(Gordon) Lindl. ex Hildebr.,Colorado White-fir
Abies delavayi,Franch.,Delavay's Silver-fir
Abies firma,Siebold & Zucc.,Momi Fir
Abies homolepis,Siebold & Zucc.,Nikko Fir
Abies lasiocarpa,(Hook.) Nutt.,Subalpine Fir
Abies nordmanniana,(Steven) Spach,Caucasian Fir
Abies pinsapo,Boiss.,Spanish Fir
Abies veitchii,Lindl.,Veitch's Silver-fir
Pseudotsuga menziesii,(Mirb.) Franco,Douglas Fir
Tsuga heterophylla,(Raf.) Sarg.,Western Hemlock-spruce
Tsuga canadensis,(L.) Carrière,Eastern Hemlock-spruce
Picea sitchensis,(Bong.) Carrière,Sitka Spruce
Picea abies,(L.) H. Karst.,Norway Spruce
Picea asperata,Mast.,Dragon Spruce
Picea breweriana,S. Watson,Brewer Spruce
Picea engelmannii,Engelm.,Engelmann Spruce
Picea glauca,(Moench) Voss,White Spruce
Picea glehnii,(F. Schmidt) Mast.,Sakhalin Spruce
Picea montigena,Mast.,
Picea omorika,(Pancic) Purk.,Serbian Spruce
Picea orientalis,(L.) Link,Oriental Spruce
Picea polita,(Siebold & Zucc.) Carrière,Tiger-tail Spruce
Picea pungens,Engelm.,Colorado Spruce
Picea smithiana,(Wall.) Boiss.,Morinda Spruce
Larix decidua,Mill.,European Larch
Larix decidua x kaempferi = L. x marschlinsii,Coaz,Hybrid Larch
Larix kaempferi,(Lamb.) Carrière,Japanese Larch
Larix gmelinii,(Rupr.) Rupr. ex Kuzen.,Dahurian Larch
Larix laricina,(Du Roi) K. Koch,American Larch
Cedrus deodara,(Roxb. ex D. Don) G. Don,Deodar 
Cedrus atlantica,(Endl.) Carrière,Atlas Cedar
Cedrus libani,A. Rich.,Cedar-of-Lebanon 
Pinus sylvestris,L.,Scots Pine
Pinus nigra,J.F. Arnold,
Pinus nigra subsp. nigra,,Austrian Pine
Pinus nigra subsp. laricio,Maire,Corsican Pine
Pinus contorta,Douglas ex Loudon,Lodgepole Pine
Pinus pinaster,Aiton,Maritime Pine
Pinus radiata,D. Don,Monterey Pine
Pinus strobus,L.,Weymouth Pine
Pinus ayacahuite,Ehrend.,Mexican White-pine
Pinus banksiana,Lamb.,Jack Pine
Pinus cembra,L.,Arolla Pine
Pinus densiflora,Siebold & Zucc.,Japanese Pine
Pinus mugo,Turra,Dwarf Mountain-pine
Pinus muricata,D. Don,Bishop Pine
Pinus peuce,Griseb.,Macedonian Pine
Pinus pinea,L.,Stone Pine
Pinus ponderosa,Douglas ex Lawson & C. Lawson,Western Yellow-pine
Pinus rigida,Mill.,Northern Pitch-pine
Pinus thunbergii,Parl.,Japanese Black-pine
Pinus wallichiana,A.B. Jacks.,Bhutan Pine
Cryptomeria japonica,(L. f.) D. Don,Japanese Red-cedar
Metasequoia glyptostroboides,Hu & W.C. Cheng,Dawn Redwood
Sciadopitys verticullata,(Thunb.) Siebold & Zucc.,Umbrella-pine 
Sequoia sempervirens,(D. Don) Endl.,Coastal Redwood
Sequoiadendron giganteum,(Lindl.) Buchholz,Wellingtonia 
Taxodium distichum,(L.) Rich.,Swamp Cypress
Cupressus macrocarpa,Hartw. ex Gordon,Monterey Cypress
Cupressus duclouxiana,Hickel,Chinese Cypress
Cupressus goveniana,Gordon,Californian Cypress
Cupressus sempervirens,L.,Italian Cypress
Cupressus macrocarpa x Xanthocyparis nootkatensis = X Cuprocyparis leylandii,(A.B. Jacks. & Dallim.) Farjon,Leyland Cypress
Chamaecyparis lawsoniana,(A. Murray bis) Parl.,Lawson's Cypress
Chamaecyparis pisifera,(Siebold & Zucc.) Siebold & Zucc.,Sawara Cypress
Chamaecyparis obtusa,(Siebold & Zucc.) Endl.,Hinoki Cypress
Thuja plicata,Donn ex D. Don,Western Red-cedar
Thuja occidentalis,L.,Northern White-cedar
Juniperus communis,L.,Juniper 
Juniperus communis subsp. communis,,Common Juniper
Juniperus communis subsp. nana,(Hook.) Syme,Dwarf Juniper
Juniperus communis subsp. hemisphaerica,(J. Presl & C. Presl) Nyman,
Juniperus chinensis,L.,Chinese Juniper
Juniperus recurva,Buch.-Ham. ex D. Don,Himalayan Juniper
Juniperus virginiana,L.,Virginian Juniper
Calocedrus decurrens,(Torrey) Florin,Californian Incense-cedar
Libocedrus chilensis,(D. Don) Endl.,Chilean Incense-cedar
Platycladus orientalis,(L.) Franco,Chinese Thuja
Thujopsis dolabrata,(L. f.) Siebold & Zucc.,Hiba 
Xanthocyparis nootkatensis,(D. Don) Farjon & D.K. Harder,Nootka Cypress
Cephalotaxus fortunei,Hook.,Chinese Plum-yew
Cephalotaxus harringtonia,(T. Knight ex Forbes) K. Koch,Japanese Plum-yew
Araucaria araucana,(Molina) K. Koch,Monkey-puzzle 
Taxus baccata,L.,Yew 
Liriodendron tulipifera,L.,Tulip-tree 
Magnolia acuminata,L.,Cucumber-tree 
Laurus nobilis,L.,Bay 
Persea americana,Mill.,Avocado 
Umbellularia californica,(Hook. & Arn.) Nutt.,Californian Bay
Asarum europaeum,L.,Asarabacca 
Aristolochia clematitis,L.,Birthwort 
Aristolochia rotunda,L.,Smearwort 
Aristolochia hirta,L.,Breckland Birthwort
Nymphaea alba,L.,White Water-lily
Nymphaea alba subsp. alba,,
Nymphaea alba subsp. occidentalis,(Ostenf.) Hyl.,
